Date,	Min. temp.,	Max temp.,	Average,	Normal temp.,
2/1/2021,	-12.5,	-7.5,	-9.6,	-2.2,
2/2/2021,	-9.9,	-5.3,	-7.1,	-2.2,
2/3/2021,	-9.3,	-5,	-7.4,	-2.2,
2/4/2021,	-11,	-6.6,	-9.5,	-2.2,
2/5/2021,	-13,	-4.5,	-8.7,	-2.2,
2/6/2021,	-9.5,	-4,	-7.5,	-2.1,
2/7/2021,	-10.4,	-5,	-7.2,	-2.1,
2/8/2021,	-10.4,	-3.3,	-5.6,	-2.1,
2/9/2021,	-8,	-3.7,	-6.7,	-2.1,
2/10/2021,	-12.9,	-3.9,	-8.2,	-2.1,
2/11/2021,	-12.4,	-3.6,	-8.9,	-2,
2/12/2021,	-14,	-0.9,	-8.7,	-2,
2/13/2021,	-14.7,	-1.4,	-9.7,	-1.9,
2/14/2021,	-15.4,	-3.3,	-10.5,	-1.9,
2/15/2021,	-12.2,	-5.8,	-8.1,	-1.8,
2/16/2021,	-5.9,	-2.2,	-3.3,	-1.8,
2/17/2021,	-3.7,	-1.5,	-2.6,	-1.7,
2/18/2021,	-3.5,	-1.3,	-2.3,	-1.6,
2/19/2021,	-1.8,	1.8,	0.3,	-1.6,
2/20/2021,	0.3,	3.2,	2.6,	-1.5,
2/21/2021,	2,	3.4,	2.7,	-1.4,
2/22/2021,	2.2,	4.1,	3.2,	-1.3,
2/23/2021,	1.3,	4.2,	1.8,	-1.2,
2/24/2021,	1.2,	6.6,	4.6,	-1.1,
2/25/2021,	3.7,	5.1,	4,	-1,
2/26/2021,	0.3,	12.6,	5.3,	-0.9,
2/27/2021,	-1.5,	7.1,	1.7,	-0.8,
2/28/2021,	-0.6,	11.2,	4.1,	-0.7,
3/1/2021,	-2.6,	5.9,	2.2,	-0.6,
3/2/2021,	2,	12.5,	5.8,	-0.5,
3/3/2021,	-1.6,	6.8,	-1,	-0.3,
3/4/2021,	-1.8,	5.6,	2,	-0.2,
3/5/2021,	-2.9,	5.5,	1.1,	-0.1,
3/6/2021,	-3,	7.9,	2.9,	0.1,
3/7/2021,	-0.9,	7.3,	1.3,	0.2,
3/8/2021,	-5.7,	3.6,	-1.2,	0.3,
3/9/2021,	-2.7,	7.2,	1.8,	0.5,
3/10/2021,	-3.8,	4.4,	-1.8,	0.6,
3/11/2021,	-1.2,	1.3,	0.3,	0.7,
3/12/2021,	-0.2,	6.3,	2.1,	0.9,
3/13/2021,	-2.6,	4.4,	1.4,	1,
3/14/2021,	-0.1,	6.3,	2.6,	1.2,
3/15/2021,	-1.3,	8.7,	3.8,	1.3,
3/16/2021,	-0.8,	6.4,	2.7,	1.5,
3/17/2021,	-2.6,	5.4,	1.6,	1.6,
3/18/2021,	-2.2,	8.7,	3.3,	1.8,
3/19/2021,	-1,	5.9,	0.9,	1.9,
3/20/2021,	-2.5,	6.6,	2.6,	2.1,
3/21/2021,	0.2,	8.1,	5,	2.2,
3/22/2021,	0,	12.7,	6.8,	2.4,
3/23/2021,	0.8,	12.9,	5.8,	2.5,
3/24/2021,	3,	11.8,	6.6,	2.7,
3/25/2021,	1.1,	10.1,	5.4,	2.8,
3/26/2021,	0.4,	7.3,	4.3,	3,
3/27/2021,	3.6,	7.1,	4.9,	3.1,
3/28/2021,	-2.8,	7.8,	3,	3.3,
3/29/2021,	4.5,	12.5,	8,	3.4,
3/30/2021,	6.6,	18.6,	11.9,	3.6,
3/31/2021,	5.5,	15.6,	6.7,	3.8,
4/1/2021,	0,	10.8,	5.1,	3.9,
4/2/2021,	1.3,	10.5,	5.3,	4.1,
4/3/2021,	-1.7,	9.9,	4.3,	4.3,
4/4/2021,	-0.6,	10.8,	5.3,	4.4,
4/5/2021,	-1.8,	8.6,	3,	4.6,
4/6/2021,	1,	8.6,	4,	4.7,
4/7/2021,	-1.6,	8.6,	3.7,	4.9,
4/8/2021,	-1.7,	6.2,	2.8,	5.1,
4/9/2021,	2.7,	10.1,	5.4,	5.3,
4/10/2021,	0.3,	9.2,	4.6,	5.4,
4/11/2021,	-3,	8.4,	2.9,	5.6,
4/12/2021,	0.8,	4.7,	1.8,	5.8,
4/13/2021,	0.3,	7.2,	2.9,	5.9,
4/14/2021,	-2.8,	10.4,	4.3,	6.1,
4/15/2021,	4.7,	11.4,	7.4,	6.3,
4/16/2021,	2.8,	12.6,	7.9,	6.5,
4/17/2021,	5.9,	15.5,	10.6,	6.6,
4/18/2021,	3.5,	18,	11.4,	6.8,
4/19/2021,	4.9,	17.5,	11.3,	7,
4/20/2021,	3.6,	16.2,	10.1,	7.2,
4/21/2021,	5.2,	12.3,	6.8,	7.4,
4/22/2021,	1.5,	10.9,	6.3,	7.5,
4/23/2021,	0.7,	10.5,	5.8,	7.7,
4/24/2021,	0.7,	9.1,	4.7,	7.9,
4/25/2021,	0.6,	9,	4.4,	8.1,
4/26/2021,	0.9,	10.9,	5.7,	8.3,
4/27/2021,	0.6,	10.6,	6,	8.4,
4/28/2021,	1.1,	10.8,	6.3,	8.6,
4/29/2021,	2.9,	11,	6.7,	8.8,
4/30/2021,	3.3,	12.2,	7.5,	9,
5/1/2021,	2.5,	12.7,	7.4,	9.2,
5/2/2021,	2.5,	12.2,	7.8,	9.3,
5/3/2021,	3.3,	10.8,	5.9,	9.5,
5/4/2021,	2.4,	9,	5.7,	9.7,
5/5/2021,	1.8,	6.8,	3.4,	9.9,
5/6/2021,	2.4,	10.5,	6,	10.1,
5/7/2021,	1.9,	11.4,	7,	10.2,
5/8/2021,	0.9,	13.1,	7.7,	10.4,
5/9/2021,	4.8,	9.7,	6.2,	10.6,
5/10/2021,	6.9,	14.8,	9.2,	10.8,
5/11/2021,	7.9,	13.5,	10.2,	10.9,
5/12/2021,	9.8,	12.8,	10.5,	11.1,
5/13/2021,	8.7,	19.3,	14.2,	11.3,
5/14/2021,	12,	18.5,	14.7,	11.4,
5/15/2021,	10.4,	16.2,	10.8,	11.6,
5/16/2021,	7.5,	14.5,	10,	11.8,
5/17/2021,	8,	12.5,	8.8,	11.9,
5/18/2021,	7.7,	15.2,	10.6,	12.1,
5/19/2021,	8.4,	16,	11.7,	12.3,
5/20/2021,	7.8,	16.3,	11.6,	12.4,
5/21/2021,	7.4,	15.2,	10.7,	12.6,
5/22/2021,	7.8,	13.5,	10.6,	12.7,
5/23/2021,	8.6,	13.8,	11.1,	12.9,
5/24/2021,	8.6,	14.3,	10.6,	13,
5/25/2021,	9.4,	14.6,	11.6,	13.2,
5/26/2021,	8.8,	12.4,	10.4,	13.3,
5/27/2021,	6.6,	16.6,	12.6,	13.5,
5/28/2021,	5.9,	23.1,	16.3,	13.6,
5/29/2021,	13.1,	24.2,	18.8,	13.7,
5/30/2021,	11,	25.8,	18.9,	13.9,
5/31/2021,	10.7,	25.8,	18,	14,
6/1/2021,	11.9,	24.9,	19,	14.2,
6/2/2021,	12,	23.1,	18.4,	14.3,
6/3/2021,	14.7,	22.9,	19.1,	14.4,
6/4/2021,	13.3,	23.9,	19.1,	14.5,
6/5/2021,	13.2,	25.1,	20.2,	14.7,
6/6/2021,	14.6,	23.5,	19,	14.8,
6/7/2021,	15.2,	22.3,	17.5,	14.9,
6/8/2021,	14.2,	20.9,	17,	15,
6/9/2021,	13.8,	22.2,	17.3,	15.1,
6/10/2021,	14.2,	22.9,	18,	15.2,
6/11/2021,	14.4,	22.2,	17.2,	15.3,
6/12/2021,	13.3,	21.5,	17.1,	15.5,
6/13/2021,	10.4,	20.7,	16.4,	15.6,
6/14/2021,	14.3,	19.7,	15.4,	15.7,
6/15/2021,	11.2,	20.6,	16.4,	15.8,
6/16/2021,	10.9,	20,	14.8,	15.9,
6/17/2021,	12.9,	23,	18.2,	15.9,
6/18/2021,	16.7,	23.1,	19.4,	16,
6/19/2021,	16.1,	22,	17.9,	16.1,
6/20/2021,	13.4,	21.2,	15.9,	16.2,
6/21/2021,	12.8,	18.2,	14.5,	16.3,
6/22/2021,	13,	17.5,	14.7,	16.4,
6/23/2021,	11.7,	24,	17.7,	16.4,
6/24/2021,	13.5,	20.8,	16.6,	16.5,
6/25/2021,	13.3,	20.2,	16.3,	16.6,
6/26/2021,	12.5,	25.5,	18.7,	16.7,
6/27/2021,	14.8,	20.9,	15.8,	16.7,
6/28/2021,	14.2,	20.4,	16.3,	16.8,
6/29/2021,	13.8,	21.2,	16.9,	16.8,
6/30/2021,	14.3,	22.4,	18.4,	16.9,
7/1/2021,	14,	23.6,	19.9,	17,
7/2/2021,	18.2,	27.3,	22.6,	17,
7/3/2021,	16.9,	29.8,	23.9,	17.1,
7/4/2021,	19.4,	26.9,	20.8,	17.1,
7/5/2021,	17,	25.3,	21.1,	17.2,
7/6/2021,	16.5,	23.9,	19,	17.2,
7/7/2021,	16.3,	20.9,	18,	17.3,
7/8/2021,	15.3,	22.3,	18.4,	17.3,
7/9/2021,	13.9,	25,	18.7,	17.3,
7/10/2021,	15.3,	20.4,	16.7,	17.4,
7/11/2021,	14.1,	23.5,	18.4,	17.4,
7/12/2021,	15.9,	23.2,	19.2,	17.5,
7/13/2021,	13.9,	27.8,	22.2,	17.5,
7/14/2021,	19.6,	26.7,	21.6,	17.5,
7/15/2021,	18.1,	29.2,	23.4,	17.6,
7/16/2021,	18,	28.5,	22.2,	17.6,
7/17/2021,	16.1,	28.1,	22.1,	17.6,
7/18/2021,	16.1,	25.6,	19.2,	17.6,
7/19/2021,	11.9,	22.8,	18,	17.7,
7/20/2021,	14.2,	24.8,	20,	17.7,
7/21/2021,	13.5,	23.4,	18.3,	17.7,
7/22/2021,	15.6,	28.1,	20.8,	17.7,
7/23/2021,	15.4,	26.1,	20.8,	17.7,
7/24/2021,	15.1,	27.2,	22,	17.7,
7/25/2021,	17.1,	29,	23.3,	17.8,
7/26/2021,	17.7,	27.1,	21.8,	17.8,
7/27/2021,	17.4,	22,	18.3,	17.8,
7/28/2021,	17,	21.2,	18.5,	17.8,
7/29/2021,	14.5,	18.7,	15.6,	17.8,
7/30/2021,	13.1,	26.6,	19.3,	17.8,
7/31/2021,	16.2,	24,	17.3,	17.7,
8/1/2021,	13.4,	17.4,	15.3,	17.7,
8/2/2021,	11.4,	18.9,	15.1,	17.7,
8/3/2021,	11,	19.2,	15,	17.7,
8/4/2021,	11.3,	20,	15.8,	17.7,
8/5/2021,	12,	20.5,	16.3,	17.7,
8/6/2021,	13.2,	22.3,	17.4,	17.6,
8/7/2021,	14.1,	21.4,	17,	17.6,
8/8/2021,	12.6,	22.5,	17.3,	17.6,
8/9/2021,	14.3,	21.5,	17.2,	17.5,
8/10/2021,	15.3,	21.9,	18,	17.5,
8/11/2021,	13.2,	22.5,	17.3,	17.4,
8/12/2021,	15.1,	22.5,	18,	17.4,
8/13/2021,	16.1,	19.6,	17.1,	17.3,
8/14/2021,	12.2,	19.9,	15.7,	17.2,
8/15/2021,	13,	21,	15.7,	17.2,
8/16/2021,	12,	19.7,	15.7,	17.1,
8/17/2021,	14.5,	19.4,	17,	17,
8/18/2021,	13.4,	19.3,	16,	16.9,
8/19/2021,	10.1,	21.4,	15.2,	16.8,
8/20/2021,	8.5,	20.1,	15,	16.7,
8/21/2021,	8.5,	20.5,	14.9,	16.6,
8/22/2021,	10.5,	20.4,	15.2,	16.5,
8/23/2021,	11,	22,	16.4,	16.4,
8/24/2021,	14.3,	20.5,	16.8,	16.3,
8/25/2021,	15.9,	22.1,	18.3,	16.2,
8/26/2021,	12.8,	16.7,	14.4,	16.1,
8/27/2021,	13.7,	18.1,	15.3,	16,
8/28/2021,	14.5,	21.5,	17.5,	15.8,
8/29/2021,	12.4,	25.1,	18.7,	15.7,
8/30/2021,	14.3,	25,	18.8,	15.6,
8/31/2021,	13.8,	24.7,	18.8,	15.4,
9/1/2021,	11.6,	24,	18.2,	15.3,
9/2/2021,	10.8,	24.6,	17.9,	15.1,
9/3/2021,	11.7,	22.7,	14.5,	15,
9/4/2021,	9.3,	15.5,	12.4,	14.8,
9/5/2021,	9.4,	19.9,	13.8,	14.7,
9/6/2021,	9.9,	20,	14.3,	14.5,
9/7/2021,	12.4,	21.7,	16,	14.3,
9/8/2021,	13.1,	25.9,	18.7,	14.2,
9/9/2021,	14.5,	24.4,	18,	14,
9/10/2021,	14.4,	22.7,	17.8,	13.8,
9/11/2021,	14.6,	19.4,	16.3,	13.6,
9/12/2021,	15.6,	20,	16.1,	13.5,
9/13/2021,	8.1,	17.6,	12.9,	13.3,
9/14/2021,	8.5,	19,	13,	13.1,
9/15/2021,	8.8,	17.2,	13.4,	12.9,
9/16/2021,	11,	15.5,	11.4,	12.7,
9/17/2021,	9.3,	11.6,	10.2,	12.5,
9/18/2021,	7.9,	12.3,	10.4,	12.3,
9/19/2021,	9,	12.2,	10.4,	12.1,
9/20/2021,	8.5,	10.6,	9.2,	11.9,
9/21/2021,	8.7,	16.6,	11.7,	11.7,
9/22/2021,	8.1,	18.5,	13.1,	11.5,
9/23/2021,	10.4,	15.2,	11.6,	11.3,
9/24/2021,	5.3,	13.1,	9.4,	11.1,
9/25/2021,	8.7,	18.4,	12.8,	10.9,
9/26/2021,	6.9,	16.6,	11.2,	10.7,
9/27/2021,	10.2,	15,	12.3,	10.4,
9/28/2021,	11.5,	16.9,	13.2,	10.2,
9/29/2021,	9.5,	13,	11.4,	10,
9/30/2021,	10.4,	12.9,	10.8,	9.8,
10/1/2021,	9.9,	14.1,	12,	9.6,
10/2/2021,	11.2,	13.6,	11.9,	9.4,
10/3/2021,	10.8,	14.5,	12.3,	9.2,
10/4/2021,	10,	14.9,	12.5,	9,
10/5/2021,	10.2,	14.2,	12.1,	8.8,
10/6/2021,	10,	12.4,	10.6,	8.6,
10/7/2021,	9.3,	13.8,	11.2,	8.4,
10/8/2021,	11.7,	13.4,	13.2,	8.2,
10/9/2021,	12.3,	15.6,	13.1,	8,
10/10/2021,	9.8,	12.3,	10.7,	7.8,
10/11/2021,	4.1,	12.6,	7.7,	7.6,
10/12/2021,	1.3,	12.9,	6.5,	7.5,
10/13/2021,	0.4,	7.8,	5,	7.3,
10/14/2021,	5.8,	13.7,	9.4,	7.1,
10/15/2021,	7.2,	11.9,	8.9,	6.9,
10/16/2021,	3.8,	11.8,	7.3,	6.8,
10/17/2021,	-0.7,	9.4,	3.4,	6.6,
10/18/2021,	-2,	7.8,	2.8,	6.4,
10/19/2021,	0.4,	4.4,	2.1,	6.3,
10/20/2021,	2.3,	13.2,	7.9,	6.1,
10/21/2021,	5.6,	11.2,	7.7,	6,
10/22/2021,	3.6,	11,	6.6,	5.8,
10/23/2021,	-0.6,	9.9,	5.2,	5.7,
10/24/2021,	4.6,	11.1,	9,	5.6,
10/25/2021,	9.7,	11.3,	10.3,	5.4,
10/26/2021,	5.4,	11.3,	7.7,	5.3,
10/27/2021,	3.1,	14.9,	10.5,	5.2,
10/28/2021,	8.3,	13.1,	12.2,	5,
10/29/2021,	10.6,	12.7,	11.1,	4.9,
10/30/2021,	9.8,	12.8,	11,	4.8,
10/31/2021,	7.7,	11.8,	9.6,	4.6,
11/1/2021,	7.7,	11.9,	10.3,	4.5,
11/2/2021,	8.7,	10.4,	9.3,	4.4,
11/3/2021,	6.3,	8.7,	7.4,	4.3,
11/4/2021,	1.8,	7.7,	4.3,	4.1,
11/5/2021,	1.5,	4.6,	2.3,	4,
11/6/2021,	-0.1,	7.6,	3.6,	3.9,
11/7/2021,	2.9,	4.7,	3.3,	3.7,
11/8/2021,	1.3,	3.5,	2.1,	3.6,
11/9/2021,	1.3,	9.8,	7.1,	3.5,
11/10/2021,	4.9,	10,	6.6,	3.3,
11/11/2021,	0.9,	10.2,	5.7,	3.2,
11/12/2021,	0.3,	7.2,	2.5,	3.1,
11/13/2021,	2.5,	4.3,	3.6,	2.9,
11/14/2021,	0.2,	4.2,	1,	2.8,
11/15/2021,	0.3,	6.4,	null,	2.6,
11/16/2021,	5.4,	8.4,	null,	2.5,
11/17/2021,	3,	null,	null,	2.4,
11/18/2021,	-1.6,	5.2,	2.6,	2.2,
11/19/2021,	2.6,	15.3,	8.2,	2,
11/20/2021,	4.5,	12.1,	6.3,	1.9,
11/21/2021,	-1,	6.9,	1.9,	1.7,
11/22/2021,	-4.6,	3.3,	-1.1,	1.6,
11/23/2021,	-1.8,	4.2,	1.1,	1.4,
11/24/2021,	1.1,	6.5,	4.7,	1.3,
11/25/2021,	-1.6,	6.5,	1,	1.1,
11/26/2021,	-4.7,	-0.9,	-3.3,	0.9,
11/27/2021,	-4.7,	-2.7,	-3.7,	0.8,
11/28/2021,	-4,	-1.9,	-3.4,	0.6,
11/29/2021,	-8.1,	-3.2,	-6.6,	0.5,
11/30/2021,	-8.2,	-4.2,	-6.5,	0.3,
12/1/2021,	-11.1,	-7,	-8.9,	0.2,
12/2/2021,	-9.1,	-4.2,	-7.1,	0,
12/3/2021,	-10.5,	-6.5,	-9,	-0.2,
12/4/2021,	-9.2,	-5.6,	-6,	-0.3,
12/5/2021,	-7.9,	-3.9,	-6.2,	-0.4,
12/6/2021,	-10.8,	-7.7,	-10.1,	-0.6,
12/7/2021,	-10.6,	-8.8,	-9.3,	-0.7,
12/8/2021,	-8.9,	-3.2,	-4.9,	-0.8,
12/9/2021,	-3.4,	-0.2,	-1.2,	-1,
12/10/2021,	-1.9,	-0.1,	-0.8,	-1.1,
12/11/2021,	-0.3,	1.6,	1.1,	-1.2,
12/12/2021,	0.3,	1.3,	0.8,	-1.3,
12/13/2021,	1,	3.2,	2.5,	-1.4,
12/14/2021,	-0.4,	3.2,	1.1,	-1.5,
12/15/2021,	0.7,	5.1,	3.5,	-1.6,
12/16/2021,	-0.2,	8.1,	3.8,	-1.7,
12/17/2021,	-1.9,	4,	0.3,	-1.7,
12/18/2021,	-1.4,	8.9,	2.8,	-1.8,
12/19/2021,	-1.1,	8.2,	2.9,	-1.8,
12/20/2021,	-1.8,	4.4,	0.8,	-1.9,
12/21/2021,	-5.7,	-1.7,	-3.6,	-1.9,
12/22/2021,	-3,	-1.3,	-1.8,	-2,
12/23/2021,	-5.7,	-1.5,	-3.7,	-2,
12/24/2021,	-9.9,	-2.3,	-7,	-2,
12/25/2021,	-11.9,	-0.9,	-6.8,	-2.1,
12/26/2021,	-9.3,	-1.5,	-7.1,	-2.1,
12/27/2021,	-11.9,	-8.2,	-9.3,	-2.1,
12/28/2021,	-8.3,	-4.1,	-5.2,	-2.1,
12/29/2021,	-9,	-4.4,	-6.3,	-2.1,
12/30/2021,	-5.4,	1,	-1.3,	-2.1,
